day,jan_rise,jan_set,feb_rise,feb_set,mar_rise,mar_set,apr_rise,apr_set,may_rise,may_set,june_rise,june_set,jul_rise,jul_set,aug_rise,aug_set,sept_rise,sept_set,oct_rise,oct_set,nov_rise,nov_set,dec_rise,dec_set
1,7:25,5:02,7:14,5:33,6:41,6:03,6:56,7:32,6:15,7:59,5:50,8:25,5:53,8:35,6:14,8:17,6:41,7:38,7:06,6:52,6:35,5:11,7:06,4:52
2,7:25,5:03,7:13,5:34,6:40,6:04,6:54,7:33,6:14,8:00,5:50,8:26,5:53,8:35,6:15,8:16,6:41,7:37,7:07,6:51,6:36,5:10,7:07,4:52
3,7:25,5:04,7:12,5:35,6:39,6:05,6:53,7:34,6:12,8:01,5:50,8:26,5:54,8:35,6:16,8:15,6:42,7:35,7:08,6:49,6:37,5:09,7:08,4:51
4,7:25,5:04,7:11,5:37,6:37,6:06,6:51,7:35,6:11,8:02,5:49,8:27,5:54,8:34,6:17,8:14,6:43,7:34,7:08,6:48,6:38,5:08,7:09,4:51
5,7:25,5:05,7:10,5:38,6:36,6:07,6:50,7:36,6:10,8:03,5:49,8:28,5:55,8:34,6:18,8:13,6:44,7:32,7:09,6:46,6:40,5:07,7:10,4:51
6,7:25,5:06,7:09,5:39,6:34,6:08,6:48,7:37,6:09,8:04,5:49,8:28,5:55,8:34,6:19,8:12,6:45,7:31,7:10,6:45,6:41,5:06,7:11,4:51
7,7:25,5:07,7:08,5:40,6:33,6:09,6:47,7:37,6:08,8:05,5:49,8:29,5:56,8:34,6:19,8:11,6:46,7:29,7:11,6:43,6:42,5:05,7:12,4:51
8,7:25,5:08,7:07,5:41,6:32,6:10,6:45,7:38,6:07,8:06,5:48,8:29,5:56,8:33,6:20,8:10,6:46,7:28,7:12,6:42,6:43,5:04,7:12,4:51
9,7:25,5:09,7:06,5:42,6:30,6:11,6:44,7:39,6:06,8:06,5:48,8:30,5:57,8:33,6:21,8:09,6:47,7:26,7:13,6:40,6:44,5:03,7:13,4:52
10,7:25,5:10,7:05,5:43,6:29,6:12,6:42,7:40,6:05,8:07,5:48,8:30,5:58,8:33,6:22,8:08,6:48,7:24,7:14,6:39,6:45,5:02,7:14,4:52
11,7:25,5:11,7:04,5:44,6:27,6:13,6:41,7:41,6:04,8:08,5:48,8:31,5:58,8:32,6:23,8:06,6:49,7:23,7:15,6:37,6:46,5:02,7:15,4:52
12,7:24,5:12,7:03,5:45,6:26,6:14,6:39,7:42,6:03,8:09,5:48,8:31,5:59,8:32,6:24,8:05,6:50,7:21,7:16,6:36,6:47,5:01,7:16,4:52
13,7:24,5:13,7:02,5:46,6:24,6:15,6:38,7:43,6:02,8:10,5:48,8:32,6:00,8:31,6:25,8:04,6:51,7:20,7:17,6:35,6:48,5:00,7:16,4:52
14,7:24,5:14,7:01,5:47,7:23,7:16,6:37,7:44,6:02,8:11,5:48,8:32,6:00,8:31,6:25,8:03,6:51,7:18,7:18,6:33,6:49,4:59,7:17,4:53
15,7:24,5:15,6:59,5:49,7:21,7:16,6:35,7:45,6:01,8:12,5:48,8:32,6:01,8:30,6:26,8:02,6:52,7:17,7:18,6:32,6:50,4:59,7:18,4:53
16,7:23,5:16,6:58,5:50,7:20,7:17,6:34,7:46,6:00,8:13,5:48,8:33,6:02,8:30,6:27,8:00,6:53,7:15,7:19,6:31,6:51,4:58,7:18,4:53
17,7:23,5:17,6:57,5:51,7:18,7:18,6:32,7:46,5:59,8:13,5:48,8:33,6:02,8:29,6:28,7:59,6:54,7:14,7:20,6:29,6:52,4:57,7:19,4:54
18,7:22,5:18,6:56,5:52,7:17,7:19,6:31,7:47,5:58,8:14,5:48,8:34,6:03,8:29,6:29,7:58,6:55,7:12,7:21,6:28,6:53,4:57,7:20,4:54
19,7:22,5:19,6:55,5:53,7:15,7:20,6:30,7:48,5:58,8:15,5:49,8:34,6:04,8:28,6:30,7:56,6:56,7:11,7:22,6:27,6:54,4:56,7:20,4:54
20,7:22,5:20,6:53,5:54,7:14,7:21,6:28,7:49,5:57,8:16,5:49,8:34,6:05,8:27,6:30,7:55,6:56,7:09,7:23,6:25,6:55,4:56,7:21,4:55
21,7:21,5:21,6:52,5:55,7:12,7:22,6:27,7:50,5:56,8:17,5:49,8:34,6:05,8:27,6:31,7:54,6:57,7:07,7:24,6:24,6:56,4:55,7:21,4:55
22,7:20,5:22,6:51,5:56,7:11,7:23,6:26,7:51,5:55,8:18,5:49,8:34,6:06,8:26,6:32,7:52,6:58,7:06,7:25,6:23,6:57,4:55,7:22,4:56
23,7:20,5:23,6:50,5:57,7:09,7:24,6:25,7:52,5:55,8:18,5:49,8:35,6:07,8:25,6:33,7:51,6:59,7:04,7:26,6:21,6:58,4:54,7:22,4:56
24,7:19,5:24,6:48,5:58,7:08,7:25,6:23,7:53,5:54,8:19,5:50,8:35,6:08,8:24,6:34,7:50,7:00,7:03,7:27,6:20,6:59,4:54,7:22,4:57
25,7:19,5:25,6:47,5:59,7:06,7:26,6:22,7:54,5:54,8:20,5:50,8:35,6:09,8:24,6:35,7:48,7:01,7:01,7:28,6:19,7:00,4:53,7:23,4:58
26,7:18,5:27,6:46,6:00,7:05,7:27,6:21,7:55,5:53,8:21,5:50,8:35,6:09,8:23,6:36,7:47,7:01,7:00,7:29,6:18,7:01,4:53,7:23,4:58
27,7:17,5:28,6:44,6:01,7:03,7:27,6:19,7:56,5:53,8:21,5:51,8:35,6:10,8:22,6:36,7:45,7:02,6:58,7:30,6:17,7:02,4:53,7:24,4:59
28,7:17,5:29,6:43,6:02,7:02,7:28,6:18,7:56,5:52,8:22,5:51,8:35,6:11,8:21,6:37,7:44,7:03,6:57,7:31,6:15,7:03,4:52,7:24,5:00
29,7:16,5:30,,,7:00,7:29,6:17,7:57,5:52,8:23,5:51,8:35,6:12,8:20,6:38,7:42,7:04,6:55,7:32,6:14,7:04,4:52,7:24,5:00
30,7:15,5:31,,,6:59,7:30,6:16,7:58,5:51,8:24,5:52,8:35,6:13,8:19,6:39,7:41,7:05,6:54,7:33,6:13,7:05,4:52,7:24,5:01
31,7:14,5:32,,,6:57,7:31,,,5:51,8:24,,,6:14,8:18,6:40,7:40,,,7:34,6:12,,,7:25,5:02