day_of_year,month,day,rises,sets
1,1,1,7.416666666666667,17.033333333333335
2,1,2,7.416666666666667,17.05
3,1,3,7.416666666666667,17.066666666666666
4,1,4,7.416666666666667,17.066666666666666
5,1,5,7.416666666666667,17.083333333333332
6,1,6,7.416666666666667,17.1
7,1,7,7.416666666666667,17.116666666666667
8,1,8,7.416666666666667,17.133333333333333
9,1,9,7.416666666666667,17.15
10,1,10,7.416666666666667,17.166666666666668
11,1,11,7.416666666666667,17.183333333333334
12,1,12,7.4,17.2
13,1,13,7.4,17.216666666666665
14,1,14,7.4,17.233333333333334
15,1,15,7.4,17.25
16,1,16,7.383333333333334,17.266666666666666
17,1,17,7.383333333333334,17.283333333333335
18,1,18,7.366666666666666,17.3
19,1,19,7.366666666666666,17.316666666666666
20,1,20,7.366666666666666,17.333333333333332
21,1,21,7.35,17.35
22,1,22,7.333333333333333,17.366666666666667
23,1,23,7.333333333333333,17.383333333333333
24,1,24,7.316666666666666,17.4
25,1,25,7.316666666666666,17.416666666666668
26,1,26,7.3,17.45
27,1,27,7.283333333333333,17.466666666666665
28,1,28,7.283333333333333,17.483333333333334
29,1,29,7.266666666666667,17.5
30,1,30,7.25,17.516666666666666
31,1,31,7.233333333333333,17.533333333333335
32,2,1,7.233333333333333,17.55
33,2,2,7.216666666666667,17.566666666666666
34,2,3,7.2,17.583333333333332
35,2,4,7.183333333333334,17.616666666666667
36,2,5,7.166666666666667,17.633333333333333
37,2,6,7.15,17.65
38,2,7,7.133333333333334,17.666666666666668
39,2,8,7.116666666666666,17.683333333333334
40,2,9,7.1,17.7
41,2,10,7.083333333333333,17.716666666666665
42,2,11,7.066666666666666,17.733333333333334
43,2,12,7.05,17.75
44,2,13,7.033333333333333,17.766666666666666
45,2,14,7.016666666666667,17.783333333333335
46,2,15,6.983333333333333,17.816666666666666
47,2,16,6.966666666666667,17.833333333333332
48,2,17,6.95,17.85
49,2,18,6.933333333333334,17.866666666666667
50,2,19,6.916666666666667,17.883333333333333
51,2,20,6.883333333333333,17.9
52,2,21,6.866666666666667,17.916666666666668
53,2,22,6.85,17.933333333333334
54,2,23,6.833333333333333,17.95
55,2,24,6.8,17.966666666666665
56,2,25,6.783333333333333,17.983333333333334
57,2,26,6.766666666666667,18.0
58,2,27,6.733333333333333,18.016666666666666
59,2,28,6.716666666666667,18.033333333333335
60,3,1,6.683333333333334,18.05
61,3,2,6.666666666666667,18.066666666666666
62,3,3,6.65,18.083333333333332
63,3,4,6.616666666666667,18.1
64,3,5,6.6,18.116666666666667
65,3,6,6.566666666666666,18.133333333333333
66,3,7,6.55,18.15
67,3,8,6.533333333333333,18.166666666666668
68,3,9,6.5,18.183333333333334
69,3,10,6.483333333333333,18.2
70,3,11,6.45,18.216666666666665
71,3,12,6.433333333333334,18.233333333333334
72,3,13,6.4,18.25
73,3,14,7.383333333333334,19.266666666666666
74,3,15,7.35,19.266666666666666
75,3,16,7.333333333333333,19.283333333333335
76,3,17,7.3,19.3
77,3,18,7.283333333333333,19.316666666666666
78,3,19,7.25,19.333333333333332
79,3,20,7.233333333333333,19.35
80,3,21,7.2,19.366666666666667
81,3,22,7.183333333333334,19.383333333333333
82,3,23,7.15,19.4
83,3,24,7.133333333333334,19.416666666666668
84,3,25,7.1,19.433333333333334
85,3,26,7.083333333333333,19.45
86,3,27,7.05,19.45
87,3,28,7.033333333333333,19.466666666666665
88,3,29,7.0,19.483333333333334
89,3,30,6.983333333333333,19.5
90,3,31,6.95,19.516666666666666
91,4,1,6.933333333333334,19.533333333333335
92,4,2,6.9,19.55
93,4,3,6.883333333333333,19.566666666666666
94,4,4,6.85,19.583333333333332
95,4,5,6.833333333333333,19.6
96,4,6,6.8,19.616666666666667
97,4,7,6.783333333333333,19.616666666666667
98,4,8,6.75,19.633333333333333
99,4,9,6.733333333333333,19.65
100,4,10,6.7,19.666666666666668
101,4,11,6.683333333333334,19.683333333333334
102,4,12,6.65,19.7
103,4,13,6.633333333333333,19.716666666666665
104,4,14,6.616666666666667,19.733333333333334
105,4,15,6.583333333333333,19.75
106,4,16,6.566666666666666,19.766666666666666
107,4,17,6.533333333333333,19.766666666666666
108,4,18,6.516666666666667,19.783333333333335
109,4,19,6.5,19.8
110,4,20,6.466666666666667,19.816666666666666
111,4,21,6.45,19.833333333333332
112,4,22,6.433333333333334,19.85
113,4,23,6.416666666666667,19.866666666666667
114,4,24,6.383333333333334,19.883333333333333
115,4,25,6.366666666666666,19.9
116,4,26,6.35,19.916666666666668
117,4,27,6.316666666666666,19.933333333333334
118,4,28,6.3,19.933333333333334
119,4,29,6.283333333333333,19.95
120,4,30,6.266666666666667,19.966666666666665
121,5,1,6.25,19.983333333333334
122,5,2,6.233333333333333,20.0
123,5,3,6.2,20.016666666666666
124,5,4,6.183333333333334,20.033333333333335
125,5,5,6.166666666666667,20.05
126,5,6,6.15,20.066666666666666
127,5,7,6.133333333333334,20.083333333333332
128,5,8,6.116666666666666,20.1
129,5,9,6.1,20.1
130,5,10,6.083333333333333,20.116666666666667
131,5,11,6.066666666666666,20.133333333333333
132,5,12,6.05,20.15
133,5,13,6.033333333333333,20.166666666666668
134,5,14,6.033333333333333,20.183333333333334
135,5,15,6.016666666666667,20.2
136,5,16,6.0,20.216666666666665
137,5,17,5.983333333333333,20.216666666666665
138,5,18,5.966666666666667,20.233333333333334
139,5,19,5.966666666666667,20.25
140,5,20,5.95,20.266666666666666
141,5,21,5.933333333333334,20.283333333333335
142,5,22,5.916666666666667,20.3
143,5,23,5.916666666666667,20.3
144,5,24,5.9,20.316666666666666
145,5,25,5.9,20.333333333333332
146,5,26,5.883333333333333,20.35
147,5,27,5.883333333333333,20.35
148,5,28,5.866666666666667,20.366666666666667
149,5,29,5.866666666666667,20.383333333333333
150,5,30,5.85,20.4
151,5,31,5.85,20.4
152,6,1,5.833333333333333,20.416666666666668
153,6,2,5.833333333333333,20.433333333333334
154,6,3,5.833333333333333,20.433333333333334
155,6,4,5.816666666666666,20.45
156,6,5,5.816666666666666,20.466666666666665
157,6,6,5.816666666666666,20.466666666666665
158,6,7,5.816666666666666,20.483333333333334
159,6,8,5.8,20.483333333333334
160,6,9,5.8,20.5
161,6,10,5.8,20.5
162,6,11,5.8,20.516666666666666
163,6,12,5.8,20.516666666666666
164,6,13,5.8,20.533333333333335
165,6,14,5.8,20.533333333333335
166,6,15,5.8,20.533333333333335
167,6,16,5.8,20.55
168,6,17,5.8,20.55
169,6,18,5.8,20.566666666666666
170,6,19,5.816666666666666,20.566666666666666
171,6,20,5.816666666666666,20.566666666666666
172,6,21,5.816666666666666,20.566666666666666
173,6,22,5.816666666666666,20.566666666666666
174,6,23,5.816666666666666,20.583333333333332
175,6,24,5.833333333333333,20.583333333333332
176,6,25,5.833333333333333,20.583333333333332
177,6,26,5.833333333333333,20.583333333333332
178,6,27,5.85,20.583333333333332
179,6,28,5.85,20.583333333333332
180,6,29,5.85,20.583333333333332
181,6,30,5.866666666666667,20.583333333333332
182,7,1,5.883333333333333,20.583333333333332
183,7,2,5.883333333333333,20.583333333333332
184,7,3,5.9,20.583333333333332
185,7,4,5.9,20.566666666666666
186,7,5,5.916666666666667,20.566666666666666
187,7,6,5.916666666666667,20.566666666666666
188,7,7,5.933333333333334,20.566666666666666
189,7,8,5.933333333333334,20.55
190,7,9,5.95,20.55
191,7,10,5.966666666666667,20.55
192,7,11,5.966666666666667,20.533333333333335
193,7,12,5.983333333333333,20.533333333333335
194,7,13,6.0,20.516666666666666
195,7,14,6.0,20.516666666666666
196,7,15,6.016666666666667,20.5
197,7,16,6.033333333333333,20.5
198,7,17,6.033333333333333,20.483333333333334
199,7,18,6.05,20.483333333333334
200,7,19,6.066666666666666,20.466666666666665
201,7,20,6.083333333333333,20.45
202,7,21,6.083333333333333,20.45
203,7,22,6.1,20.433333333333334
204,7,23,6.116666666666666,20.416666666666668
205,7,24,6.133333333333334,20.4
206,7,25,6.15,20.4
207,7,26,6.15,20.383333333333333
208,7,27,6.166666666666667,20.366666666666667
209,7,28,6.183333333333334,20.35
210,7,29,6.2,20.333333333333332
211,7,30,6.216666666666667,20.316666666666666
212,7,31,6.233333333333333,20.3
213,8,1,6.233333333333333,20.283333333333335
214,8,2,6.25,20.266666666666666
215,8,3,6.266666666666667,20.25
216,8,4,6.283333333333333,20.233333333333334
217,8,5,6.3,20.216666666666665
218,8,6,6.316666666666666,20.2
219,8,7,6.316666666666666,20.183333333333334
220,8,8,6.333333333333333,20.166666666666668
221,8,9,6.35,20.15
222,8,10,6.366666666666666,20.133333333333333
223,8,11,6.383333333333334,20.1
224,8,12,6.4,20.083333333333332
225,8,13,6.416666666666667,20.066666666666666
226,8,14,6.416666666666667,20.05
227,8,15,6.433333333333334,20.033333333333335
228,8,16,6.45,20.0
229,8,17,6.466666666666667,19.983333333333334
230,8,18,6.483333333333333,19.966666666666665
231,8,19,6.5,19.933333333333334
232,8,20,6.5,19.916666666666668
233,8,21,6.516666666666667,19.9
234,8,22,6.533333333333333,19.866666666666667
235,8,23,6.55,19.85
236,8,24,6.566666666666666,19.833333333333332
237,8,25,6.583333333333333,19.8
238,8,26,6.6,19.783333333333335
239,8,27,6.6,19.75
240,8,28,6.616666666666667,19.733333333333334
241,8,29,6.633333333333333,19.7
242,8,30,6.65,19.683333333333334
243,8,31,6.666666666666667,19.666666666666668
244,9,1,6.683333333333334,19.633333333333333
245,9,2,6.683333333333334,19.616666666666667
246,9,3,6.7,19.583333333333332
247,9,4,6.716666666666667,19.566666666666666
248,9,5,6.733333333333333,19.533333333333335
249,9,6,6.75,19.516666666666666
250,9,7,6.766666666666667,19.483333333333334
251,9,8,6.766666666666667,19.466666666666665
252,9,9,6.783333333333333,19.433333333333334
253,9,10,6.8,19.4
254,9,11,6.816666666666666,19.383333333333333
255,9,12,6.833333333333333,19.35
256,9,13,6.85,19.333333333333332
257,9,14,6.85,19.3
258,9,15,6.866666666666667,19.283333333333335
259,9,16,6.883333333333333,19.25
260,9,17,6.9,19.233333333333334
261,9,18,6.916666666666667,19.2
262,9,19,6.933333333333334,19.183333333333334
263,9,20,6.933333333333334,19.15
264,9,21,6.95,19.116666666666667
265,9,22,6.966666666666667,19.1
266,9,23,6.983333333333333,19.066666666666666
267,9,24,7.0,19.05
268,9,25,7.016666666666667,19.016666666666666
269,9,26,7.016666666666667,19.0
270,9,27,7.033333333333333,18.966666666666665
271,9,28,7.05,18.95
272,9,29,7.066666666666666,18.916666666666668
273,9,30,7.083333333333333,18.9
274,10,1,7.1,18.866666666666667
275,10,2,7.116666666666666,18.85
276,10,3,7.133333333333334,18.816666666666666
277,10,4,7.133333333333334,18.8
278,10,5,7.15,18.766666666666666
279,10,6,7.166666666666667,18.75
280,10,7,7.183333333333334,18.716666666666665
281,10,8,7.2,18.7
282,10,9,7.216666666666667,18.666666666666668
283,10,10,7.233333333333333,18.65
284,10,11,7.25,18.616666666666667
285,10,12,7.266666666666667,18.6
286,10,13,7.283333333333333,18.583333333333332
287,10,14,7.3,18.55
288,10,15,7.3,18.533333333333335
289,10,16,7.316666666666666,18.516666666666666
290,10,17,7.333333333333333,18.483333333333334
291,10,18,7.35,18.466666666666665
292,10,19,7.366666666666666,18.45
293,10,20,7.383333333333334,18.416666666666668
294,10,21,7.4,18.4
295,10,22,7.416666666666667,18.383333333333333
296,10,23,7.433333333333334,18.35
297,10,24,7.45,18.333333333333332
298,10,25,7.466666666666667,18.316666666666666
299,10,26,7.483333333333333,18.3
300,10,27,7.5,18.283333333333335
301,10,28,7.516666666666667,18.25
302,10,29,7.533333333333333,18.233333333333334
303,10,30,7.55,18.216666666666665
304,10,31,7.566666666666666,18.2
305,11,1,6.583333333333333,17.183333333333334
306,11,2,6.6,17.166666666666668
307,11,3,6.616666666666667,17.15
308,11,4,6.633333333333333,17.133333333333333
309,11,5,6.666666666666667,17.116666666666667
310,11,6,6.683333333333334,17.1
311,11,7,6.7,17.083333333333332
312,11,8,6.716666666666667,17.066666666666666
313,11,9,6.733333333333333,17.05
314,11,10,6.75,17.033333333333335
315,11,11,6.766666666666667,17.033333333333335
316,11,12,6.783333333333333,17.016666666666666
317,11,13,6.8,17.0
318,11,14,6.816666666666666,16.983333333333334
319,11,15,6.833333333333333,16.983333333333334
320,11,16,6.85,16.966666666666665
321,11,17,6.866666666666667,16.95
322,11,18,6.883333333333333,16.95
323,11,19,6.9,16.933333333333334
324,11,20,6.916666666666667,16.933333333333334
325,11,21,6.933333333333334,16.916666666666668
326,11,22,6.95,16.916666666666668
327,11,23,6.966666666666667,16.9
328,11,24,6.983333333333333,16.9
329,11,25,7.0,16.883333333333333
330,11,26,7.016666666666667,16.883333333333333
331,11,27,7.033333333333333,16.883333333333333
332,11,28,7.05,16.866666666666667
333,11,29,7.066666666666666,16.866666666666667
334,11,30,7.083333333333333,16.866666666666667
335,12,1,7.1,16.866666666666667
336,12,2,7.116666666666666,16.866666666666667
337,12,3,7.133333333333334,16.85
338,12,4,7.15,16.85
339,12,5,7.166666666666667,16.85
340,12,6,7.183333333333334,16.85
341,12,7,7.2,16.85
342,12,8,7.2,16.85
343,12,9,7.216666666666667,16.866666666666667
344,12,10,7.233333333333333,16.866666666666667
345,12,11,7.25,16.866666666666667
346,12,12,7.266666666666667,16.866666666666667
347,12,13,7.266666666666667,16.866666666666667
348,12,14,7.283333333333333,16.883333333333333
349,12,15,7.3,16.883333333333333
350,12,16,7.3,16.883333333333333
351,12,17,7.316666666666666,16.9
352,12,18,7.333333333333333,16.9
353,12,19,7.333333333333333,16.9
354,12,20,7.35,16.916666666666668
355,12,21,7.35,16.916666666666668
356,12,22,7.366666666666666,16.933333333333334
357,12,23,7.366666666666666,16.933333333333334
358,12,24,7.366666666666666,16.95
359,12,25,7.383333333333334,16.966666666666665
360,12,26,7.383333333333334,16.966666666666665
361,12,27,7.4,16.983333333333334
362,12,28,7.4,17.0
363,12,29,7.4,17.0
364,12,30,7.4,17.016666666666666
365,12,31,7.416666666666667,17.033333333333335
